exp,weight,temp,seed,balanced_acc,auroc
w0.0_t0.05_s42,0.0,0.05,42,0.5,nan
w0.0_t0.05_s123,0.0,0.05,123,0.5,nan
w0.0_t0.05_s999,0.0,0.05,999,0.5,nan
w0.0_t0.1_s42,0.0,0.1,42,0.5,nan
w0.0_t0.1_s123,0.0,0.1,123,0.5,nan
w0.0_t0.1_s999,0.0,0.1,999,0.5,nan
w0.0_t0.2_s42,0.0,0.2,42,0.5,nan
w0.0_t0.2_s123,0.0,0.2,123,0.5,nan
w0.0_t0.2_s999,0.0,0.2,999,0.5,nan
w0.1_t0.05_s42,0.1,0.05,42,0.5,nan
w0.1_t0.05_s123,0.1,0.05,123,0.5,nan
w0.1_t0.05_s999,0.1,0.05,999,0.5,nan
w0.1_t0.1_s42,0.1,0.1,42,0.5,nan
w0.1_t0.1_s123,0.1,0.1,123,0.5,nan
w0.1_t0.1_s999,0.1,0.1,999,0.5,nan
w0.1_t0.2_s42,0.1,0.2,42,0.5,nan
w0.1_t0.2_s123,0.1,0.2,123,0.5,nan
w0.1_t0.2_s999,0.1,0.2,999,0.5,nan
w1.0_t0.05_s42,1.0,0.05,42,0.5,nan
w1.0_t0.05_s123,1.0,0.05,123,0.5,nan
w1.0_t0.05_s999,1.0,0.05,999,0.5,nan
w1.0_t0.1_s42,1.0,0.1,42,0.5,nan
w1.0_t0.1_s123,1.0,0.1,123,0.5,nan
w1.0_t0.1_s999,1.0,0.1,999,0.5,nan
w1.0_t0.2_s42,1.0,0.2,42,0.5,nan
w1.0_t0.2_s123,1.0,0.2,123,0.5,nan
w1.0_t0.2_s999,1.0,0.2,999,0.5,nan
